"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 03 22:44:21 EET 2021","Wed Mar 03 22:44:21 EET 2021","18","","AutomationTestLab.Test","","AutomationTestLab.Test","","TestOpen",""
"passed","Thu Mar 04 01:52:15 EET 2021","Thu Mar 04 01:52:20 EET 2021","5152","","AutomationTestLab.Test","","AutomationTestLab.Test","","OpenHomePage",""
